z_Rp,density_g_cm3,pressure_dyn_cm2,temperature_K,tau,velocity_km_s
-11.913489736070378,3.482699995816664e-20,5.566537432514181e-07,249943.2556240689,4.786782777822824e-07,357.49399019879826
-11.840175953079179,3.482699995816664e-20,5.566537432514181e-07,249943.2556240689,4.786782777822824e-07,357.49399019879826
-11.766862170087975,3.482699995816664e-20,5.566537432514181e-07,249943.2556240689,4.786782777822824e-07,357.49399019879826
-11.693548387096772,3.482699995816664e-20,5.566537432514181e-07,249943.2556240689,4.786782777822824e-07,357.49399019879826
-11.620234604105569,3.482699995816664e-20,5.566537432514181e-07,249943.2556240689,4.786782777822824e-07,357.49399019879826
-11.54692082111437,3.4793670136183943e-20,5.557616103922857e-07,249781.72265082318,4.864892297429075e-07,357.50515163632707
-11.473607038123166,3.4793670136183943e-20,5.557616103922857e-07,249781.72265082318,4.864892297429075e-07,357.50515163632707
-11.400293255131963,3.4793670136183943e-20,5.557616103922857e-07,249781.72265082318,4.864892297429075e-07,357.50515163632707
-11.32697947214076,3.4793670136183943e-20,5.557616103922857e-07,249781.72265082318,4.864892297429075e-07,357.50515163632707
-11.25366568914956,3.4793670136183943e-20,5.557616103922857e-07,249781.72265082318,4.864892297429075e-07,357.50515163632707
-11.180351906158357,3.4793670136183943e-20,5.557616103922857e-07,249781.72265082318,4.864892297429075e-07,357.50515163632707
-11.107038123167154,3.4793670136183943e-20,5.557616103922857e-07,249781.72265082318,4.864892297429075e-07,357.50515163632707
-11.03372434017595,3.4793670136183943e-20,5.557616103922857e-07,249781.72265082318,4.864892297429075e-07,357.50515163632707
-10.960410557184748,3.4760486590824755e-20,5.548735654927848e-07,249620.668522437,4.941883313725266e-07,357.51674369098544
-10.887096774193548,3.4760486590824755e-20,5.548735654927848e-07,249620.668522437,4.941883313725266e-07,357.51674369098544
-10.813782991202345,3.4760486590824755e-20,5.548735654927848e-07,249620.668522437,4.941883313725266e-07,357.51674369098544
-10.740469208211142,3.4760486590824755e-20,5.548735654927848e-07,249620.668522437,4.941883313725266e-07,357.51674369098544
-10.667155425219939,3.4760486590824755e-20,5.548735654927848e-07,249620.668522437,4.941883313725266e-07,357.51674369098544
-10.593841642228739,3.4760486590824755e-20,5.548735654927848e-07,249620.668522437,4.941883313725266e-07,357.51674369098544
-10.520527859237536,3.4760486590824755e-20,5.548735654927848e-07,249620.668522437,4.941883313725266e-07,357.51674369098544
-10.447214076246333,3.4760486590824755e-20,5.548735654927848e-07,249620.668522437,4.941883313725266e-07,357.51674369098544
